vgs,id,gm,gds,cgg,vth,gm_id,id_w,gain,ft
0.82,8.06043101e-05,0.000621189679,4.24064283e-06,5.58732277e-14,0.576624566,7.7066558628109885,8.06043101e-06,146.48479108060133,1769459400.8664677
0.83,8.69242689e-05,0.000642714862,4.53146033e-06,5.60542958e-14,0.576624566,7.393963390585387,8.69242689e-06,141.833937670155,1824860090.1329203
0.84,9.34569226e-05,0.000663734649,4.83318399e-06,5.62259539e-14,0.576624566,7.102038356653529,9.34569226e-06,137.3286534039024,1878788050.0452325
0.85,0.000100197397,0.000684284954,5.14602601e-06,5.63887596e-14,0.576624566,6.829368571321269,1.00197397e-05,132.97347364165384,1931365997.1429877
0.86,0.000107141174,0.000704400837,5.47022273e-06,5.65432427e-14,0.576624566,6.574511093186266,1.0714117400000001e-05,128.77004680941027,1982710396.0314333
0.87,0.000114284077,0.000724115595,5.80603385e-06,5.66899059e-14,0.576624566,6.336102228834556,1.14284077e-05,124.71777011771987,2032929398.7093909
0.88,0.000121622252,0.000743460155,6.15374171e-06,5.6829225e-14,0.576624566,6.1128629241300345,1.21622252e-05,120.81432566333694,2082121631.2578022
0.89,0.00012915214,0.000762462707,6.51365055e-06,5.69616501e-14,0.576624566,5.9036010320851044,1.2915214000000001e-05,117.05612715130994,2130375586.5435765
0.9,0.000136870451,0.000781148524,6.88608581e-06,5.7087606e-14,0.576624566,5.7072108573676,1.36870451e-05,113.43868571396732,2177769529.931559
0.91,0.00014477413,0.000799539925,7.27139351e-06,5.72074936e-14,0.576624566,5.522671246582522,1.4477412999999999e-05,109.9569049454456,2224371725.718696
0.92,0.000152860333,0.000817656339,7.66993973e-06,5.73216904e-14,0.576624566,5.3490419846200385,1.52860333e-05,106.60531474606516,2270240936.618863
0.93,0.000161126396,0.000835514445,8.08211015e-06,5.7430552e-14,0.576624566,5.1854597740769925,1.6112639600000002e-05,103.37825512066301,2315427056.0803857
0.94,0.000169569808,0.00085312836,8.50830978e-06,5.75344126e-14,0.576624566,5.031133608407458,1.69569808e-05,100.27001626167869,2359971875.091013
0.95,0.000178188189,0.000870509851,8.9489627e-06,5.76335865e-14,0.576624566,4.885339796567549,1.78188189e-05,97.27494461453058,2403909841.648312
0.96,0.000186979263,0.000887668563,9.40451199e-06,5.77283688e-14,0.576624566,4.747417166790309,1.86979263e-05,94.38751994190396,2447268865.6452994
0.97,0.000195940843,0.000904612255,9.87541971e-06,5.78190368e-14,0.576624566,4.61676208568726,1.95940843e-05,91.60241099261593,2490071089.6096444
0.98,0.000205070812,0.000921347016,1.03621671e-05,5.79058504e-14,0.576624566,4.492823756898178,2.05070812e-05,88.91451055638738,2532333622.3617153
0.99,0.000214367103,0.000937877491,1.08652546e-05,5.79890537e-14,0.576624566,4.375099900473068,2.14367103e-05,86.31896126943957,2574069228.297729
1.0,0.000223827692,0.000954207075,1.13852024e-05,5.80688755e-14,0.576624566,4.263132351827137,2.23827692e-05,83.81116483269547,2615286957.287625
1.01,0.000233450582,0.000970338098,1.1922551e-05,5.81455306e-14,0.576624566,4.156503229450077,2.33450582e-05,81.3867852609731,2655992699.2408934
1.02,0.000243233797,0.000986271997,1.24778611e-05,5.82192201e-14,0.576624566,4.054831233013232,2.43233797e-05,79.04175155467952,2696189734.0095935
1.03,0.000253175368,0.00100200947,1.3051715e-05,5.82901328e-14,0.576624566,3.9577683955415437,2.53175368e-05,76.77224563974926,2735879170.5375943
